n,value,kryt,device
8,-10156.481991690674,BIC,lighting4
8,-3000.2788119181555,log_lig,refrigerator
8,6158.557623836311,AIC,refrigerator
8,6578.302034416445,BIC,refrigerator
8,6558.609625433139,log_lig,microwave
8,-12959.219250866277,AIC,microwave
8,-12539.474840286144,BIC,microwave
9,4854.470330108794,log_lig,ligthing2
9,-9512.940660217588,AIC,ligthing2
9,-8992.245062282738,BIC,ligthing2
9,6181.301698366913,log_lig,lighting5
9,-12166.603396733826,AIC,lighting5
9,-11645.907798798977,BIC,lighting5
9,4894.331996224217,log_lig,lighting4
9,-9592.663992448433,AIC,lighting4
9,-9071.968394513584,BIC,lighting4
9,-2770.0834084294943,log_lig,refrigerator
9,5736.166816858989,AIC,refrigerator
9,6256.862414793838,BIC,refrigerator
9,6096.056222302764,log_lig,microwave
9,-11996.112444605527,AIC,microwave
9,-11475.416846670678,BIC,microwave
10,4986.227507761336,log_lig,ligthing2
10,-9734.455015522672,AIC,ligthing2
10,-9102.181789458926,BIC,ligthing2
10,5810.868331956702,log_lig,lighting5
10,-11383.736663913403,AIC,lighting5
10,-10751.463437849658,BIC,lighting5
10,4998.514380441711,log_lig,lighting4
10,-9759.028760883422,AIC,lighting4
10,-9126.755534819677,BIC,lighting4
10,-2887.372553704483,log_lig,refrigerator
10,6012.745107408966,AIC,refrigerator
10,6645.018333472712,BIC,refrigerator
10,5841.86792853241,log_lig,microwave
10,-11445.73585706482,AIC,microwave
10,-10813.462631001074,BIC,microwave
11,4305.773267297554,log_lig,ligthing2
11,-8327.546534595109,AIC,ligthing2
11,-7573.069239628286,BIC,ligthing2
11,6163.1616000025715,log_lig,lighting5
11,-12042.323200005143,AIC,lighting5
11,-11287.84590503832,BIC,lighting5
11,4802.682444232119,log_lig,lighting4
11,-9321.364888464239,AIC,lighting4
11,-8566.887593497417,BIC,lighting4
11,-2951.6713041858507,log_lig,refrigerator
11,6187.342608371701,AIC,refrigerator
11,6941.819903338524,BIC,refrigerator
11,6534.990606263976,log_lig,microwave
