n_lamp,n_rest,power
17.0,2.0,0.6072727272727273
17.0,3.0,0.6636363636363637
17.0,4.0,0.7818181818181819
17.0,5.0,0.7836363636363637
17.0,6.0,0.7854545454545454
17.0,7.0,0.7181818181818181
17.0,8.0,0.7618181818181818
17.0,9.0,0.78
17.0,10.0,0.5854545454545454
17.0,11.0,0.7345454545454545
17.0,12.0,0.6236363636363637
17.0,13.0,0.7127272727272728
17.0,14.0,0.7672727272727272
17.0,15.0,0.6563636363636364
17.0,16.0,0.7836363636363637
17.0,17.0,0.64
17.0,18.0,0.7963636363636364
17.0,19.0,0.7963636363636364
18.0,1.0,0.4090909090909091
18.0,2.0,0.66
18.0,3.0,0.6218181818181818
18.0,4.0,0.6709090909090909
18.0,5.0,0.7163636363636363
18.0,6.0,0.7636363636363637
18.0,7.0,0.7672727272727272
18.0,8.0,0.7509090909090909
18.0,9.0,0.7054545454545454
18.0,10.0,0.7618181818181818
18.0,11.0,0.7927272727272727
18.0,12.0,0.78
18.0,13.0,0.7654545454545455
18.0,14.0,0.7890909090909091
18.0,15.0,0.7563636363636363
18.0,16.0,0.7781818181818182
18.0,17.0,0.7781818181818182
18.0,18.0,0.7763636363636364
18.0,19.0,0.7781818181818182
19.0,1.0,0.4163636363636364
19.0,2.0,0.6218181818181818
19.0,3.0,0.7563636363636363
19.0,4.0,0.7781818181818182
19.0,5.0,0.7818181818181819
19.0,6.0,0.7981818181818182
19.0,7.0,0.7909090909090909
19.0,8.0,0.7054545454545454
19.0,9.0,0.7945454545454546
19.0,10.0,0.7854545454545454
19.0,11.0,0.7945454545454546
19.0,12.0,0.7090909090909091
19.0,13.0,0.46545454545454545
19.0,14.0,0.7836363636363637
19.0,15.0,0.6854545454545454
19.0,16.0,0.7872727272727272
19.0,17.0,0.7745454545454545
19.0,18.0,0.7945454545454546
19.0,19.0,0.7327272727272728
